0.05;1.32;2.4;0.250;none;;0.963;0.05;0.18;112.6709544;0.05
0.15;3.97;2.4;0.250;none;;0.963;0.15;0.18;112.6709544;0.05
0.25;6.62;2.4;0.250;none;;0.963;0.25;0.18;112.6709544;0.05
0.35;9.27;2.4;0.250;none;;0.963;0.35;0.18;112.6709544;0.05
0.45;11.92;2.4;0.250;none;;0.963;0.45;0.18;112.6709544;0.05
0.55;14.57;2.4;1.300;none;;5.010;0.55;0.93;585.8889627;0.25
0.65;17.22;2.4;5.200;none;;20.040;0.65;3.71;2343.555851;1.0
0.75;19.87;2.4;0.520;none;;2.004;0.75;0.37;234.3555851;0.1
0.85;22.52;2.4;0.250;none;;0.963;0.85;0.18;112.6709544;0.05
0.95;25.17;2.4;0.250;none;;0.963;0.95;0.18;112.6709544;0.05
