0.05;0.20;2.52;0.750;none;;0.493;0.05;0.49;541.0254257;0.2;0.30
0.15;0.59;2.5;0.520;none;;0.347;0.15;0.35;346.6666667;0.14;0.21
0.25;0.98;2.36;0.600;none;;0.441;0.25;0.44;231.5327031;0.18;0.24
0.35;1.37;2.42;0.900;none;;0.634;0.35;0.63;438.4844182;0.25;0.36
0.45;1.76;2.245;2.200;6.6;;1.767;0.45;1.77;546.0763013;0.70;0.88
0.55;2.15;2.185;2.280;6.6;;1.924;0.55;1.92;451.0414936;0.76;0.91
0.65;2.54;2.125;2.350;6.6;;2.089;0.65;2.09;371.4628101;0.83;0.95
0.75;2.93;1.945;2.380;6.6;;2.519;0.75;2.52;195.4992738;1.00;0.96
0.85;3.32;2.035;2.480;6.6;;2.396;0.85;2.40;281.5213465;0.95;1.0
0.95;3.71;2.32;1.600;none;;1.212;0.95;1.21;529.1100997;0.48;0.64
