0.05;3.00;2.6;0.480;none;;0.300;0.05;0.30;475.4679577;0.68;0.68
0.15;9.00;2.6;0.621;none;;0.388;0.15;0.39;615.2044845;0.88;0.88
0.25;15.00;2.6;0.708;none;;0.443;0.25;0.44;701.5664075;1.0;1.0
0.35;21.00;2.6;0.708;none;;0.443;0.35;0.44;701.5664075;1.0;1.0
0.45;27.00;2.6;0.621;none;;0.388;0.45;0.39;615.2044845;0.88;0.88
0.55;33.00;2.6;0.480;none;;0.300;0.55;0.30;475.4679577;0.68;0.68
0.65;39.00;2.6;0.339;none;;0.212;0.65;0.21;335.731431;0.48;0.48
0.75;45.00;2.6;0.252;none;;0.157;0.75;0.16;249.369508;0.36;0.36
0.85;51.00;2.6;0.252;none;;0.157;0.85;0.16;249.369508;0.36;0.36
0.95;57.00;2.6;0.339;none;;0.212;0.95;0.21;335.731431;0.48;0.48
