0.05;-90.00;2.7;0.680;none;;6.170;0.05;0.40;1004.754573;0.29;0.29
0.15;-70.00;2.7;0.680;none;;6.170;0.15;0.40;1004.754573;0.29;0.29
0.25;-50.00;2.7;0.680;none;;6.170;0.25;0.40;1004.754573;0.29;0.29
0.35;-30.00;2.7;2.040;none;;18.511;0.35;1.20;3014.263718;0.86;0.86
0.45;-10.00;2.7;1.190;none;;10.798;0.45;0.70;1758.320502;0.50;0.50
0.55;10.00;2.7;0.680;none;;6.170;0.55;0.40;1004.754573;0.29;0.29
0.65;30.00;2.7;2.380;none;;21.596;0.65;1.40;3516.641004;1.00;1.00
0.75;50.00;2.7;2.040;none;;18.511;0.75;1.20;3014.263718;0.86;0.86
0.85;70.00;2.7;1.020;none;;9.256;0.85;0.60;1507.131859;0.43;0.43
0.95;90.00;2.7;0.680;none;;6.170;0.95;0.40;1004.754573;0.29;0.29
