LS 5039;;3.9 day orbit;;;;x10^-12 cm^-2 s^-1;LS 5039;;3FHL: 201±32
phase;;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>1TeV;;;
0,05;;2,6;0,000;none;;0,000;;;
0,15;;2,6;0,000;none;;0,000;;;
0,25;;2,6;0,000;none;;0,000;;;
0,35;;2,6;0,000;none;;0,000;;;
0,45;;2,6;0,861;none;;0,538;;;
0,55;;2,6;0,000;none;;0,000;;;
0,65;;2,6;0,000;none;;0,000;;;
0,75;;2,6;0,000;none;;0,000;;;
0,85;;2,6;0,000;none;;0,000;;;
0,95;;2,6;0,000;none;;0,000;;;
;;;;;;;;;
NB2;;193 day orbit;1% Crab peak flux, 15% duty cycle, 0.1% baseline flux;;position: l=+48.2, b=-0.82, RA=290.698354  dec=+13.168520;;;;
phase;;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>1TeV;;;
0,05;;2,5;0,287;none;;0,191;;;
0,15;;2,5;0,144;none;;0,096;;;
0,25;;2,5;0,029;none;;0,019;;;
0,35;;2,5;0,029;none;;0,019;;;
0,45;;2,5;0,029;none;;0,019;;;
0,55;;2,5;0,029;none;;0,019;;;
0,65;;2,5;0,029;none;;0,019;;;
0,75;;2,5;0,029;none;;0,019;;;
0,85;;2,5;0,029;none;;0,019;;;
0,95;;2,5;0,029;none;;0,019;;;
;;;;;;;;;
NB3;;57 day orbit;0.5% Crab peak flux, 20% duty cycle, 2 flares with different spectra, 0.1% baseline flux;;position: l=+77, b=-1.13, RA=307.836473  dec=37.581199;;;;
phase;;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>1TeV;;;
0,05;;2,3;0,029;none;;0,022;;;
0,15;;2,3;0,029;none;;0,022;;;
0,25;;2,5;0,144;none;;0,096;;;
0,35;;2,5;0,034;none;;0,023;;;
0,45;;2,3;0,029;none;;0,022;;;
0,55;;2,3;0,029;none;;0,022;;;
0,65;;2,3;0,034;none;;0,026;;;
0,75;;2,3;0,144;none;;0,110;;;
0,85;;2,3;0,029;none;;0,022;;;
0,95;;2,3;0,029;none;;0,022;;;
;;;;;;;;;
NB4;;12.6 day orbit;0.3% Crab peak flux, 25% duty cycle, no baseline flux;;position: l=+3.2, b=0.42, RA=267.860054  dec=-25.978161;;;;
phase;;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>1TeV;;;
0,05;;2,3;0,057;none;;0,044;;;
0,15;;2,3;0,086;none;;0,066;;;
0,25;;2,5;0,057;none;;0,038;;;
0,35;;2,5;0,000;none;;0,000;;;
0,45;;2,3;0,000;none;;0,000;;;
0,55;;2,3;0,000;none;;0,000;;;
0,65;;2,3;0,000;none;;0,000;;;
0,75;;2,3;0,000;none;;0,000;;;
0,85;;2,3;0,000;none;;0,000;;;
0,95;;2,3;0,000;none;;0,000;;;
;;;;;;;;;
NB5;;2.59 day orbit ;Mean 0.1% Crab flux, 50% duty cycle, factor 3 sinusoidal variation;;position: l=+183, b=-0.33, RA=87.832424  dec=26.196066;;;;
phase;;index;flux (at 1 TeV)x10^-12 TeV^-1 cm^-2 s^-1;cutoff (TeV);;integral flux>1TeV;;;
0,05;;2,4;0,015;none;;0,011;;;
0,15;;2,4;0,020;none;;0,014;;;
0,25;;2,4;0,029;none;;0,021;;;
0,35;;2,4;0,037;none;;0,027;;;
0,45;;2,4;0,042;none;;0,030;;;
0,55;;2,4;0,042;none;;0,030;;;
0,65;;2,4;0,037;none;;0,027;;;
0,75;;2,4;0,029;none;;0,021;;;
0,85;;2,4;0,020;none;;0,014;;;
0,95;;2,4;0,015;none;;0,011;;;
