0.008;10.00;2.7;0.680;none;;6.170;0.55;0.40;1004.754573;0.29;0.29
0.024;30.00;2.7;2.380;none;;21.596;0.65;1.40;3516.641004;1.00;1.00
0.041;50.00;2.7;2.040;none;;18.511;0.75;1.20;3014.263718;0.86;0.86
0.057;70.00;2.7;1.020;none;;9.256;0.85;0.60;1507.131859;0.43;0.43
0.073;90.00;2.7;0.680;none;;6.170;0.95;0.40;1004.754573;0.29;0.29
0.173;213.00;none;none;none;;none;none;none;none;0.00;0.00
0.273;337.40;none;none;none;;none;none;none;none;0.00;0.00
0.373;461.00;none;none;none;;none;none;none;none;0.00;0.00
0.473;584.6;none;none;none;;none;none;none;none;0.00;0.00
0.573;708.3;none;none;none;;none;none;none;none;0.00;0.00
0.673;831.8;none;none;none;;none;none;none;none;0.00;0.00
0.773;955.4;none;none;none;;none;none;none;none;0.00;0.00
0.873;1079.0;none;none;none;;none;none;none;none;0.00;0.00
0.928;-90.00;2.7;0.680;none;;6.170;0.05;0.40;1004.754573;0.29;0.29
0.944;-70.00;2.7;0.680;none;;6.170;0.15;0.40;1004.754573;0.29;0.29
0.960;-50.00;2.7;0.680;none;;6.170;0.25;0.40;1004.754573;0.29;0.29
0.976;-30.00;2.7;2.040;none;;18.511;0.35;1.20;3014.263718;0.86;0.86
0.992;-10.00;2.7;1.190;none;;10.798;0.45;0.70;1758.320502;0.50;0.50
