tag,n_sources,flux_1_10
gamma-cat,56,1.4963885890831828e-10
image_sources,11,6.276547698460321e-11
pwn,614,6.65091096436891e-11
snr,826,4.209048968418491e-11
binaries,11,9.621482593092582e-12
pulsars,15,1.5770014889133984e-13
